# t_unix,market,best_bid,best_bid_size,best_ask,best_ask_size
1786852692.321,btc_1h,0.52,46.24,0.62,295.54
1786852694.783,btc_4h,0.989,470.55,0.995,50.0
1786852695.398,btc_1h,0.5,56.04,0.56,315.0
1786852697.827,btc_4h,0.989,470.55,0.995,50.0
1786852698.464,btc_1h,0.51,58.34,0.56,315.0
1786852700.825,btc_4h,0.989,470.55,0.995,50.0
1786852701.337,btc_1h,0.55,193.66,0.56,136.0
# error btc_4h: <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1081)>
# error btc_1h: <urlopen error [SSL: DECRYPTION_FAILED_OR_BAD_RECORD_MAC] decryption failed or bad record mac (_ssl.c:1081)>
1786852706.867,btc_4h,0.989,470.55,0.995,50.0
1786852707.423,btc_1h,0.4,85.02,0.45,6.0
1786852709.782,btc_4h,0.989,470.55,0.995,50.0
1786852710.451,btc_1h,0.43,7.95,0.47,321.0
# error btc_4h: <urlopen error [SSL: SSLV3_ALERT_ILLEGAL_PARAMETER] sslv3 alert illegal parameter (_ssl.c:1081)>
1786852713.134,btc_1h,0.44,77.07,0.45,20.0
1786852715.880,btc_4h,0.991,620.0,0.995,50.0
1786852716.362,btc_1h,0.43,85.02,0.44,20.0
1786852718.676,btc_4h,0.991,620.0,0.995,50.0
1786852719.236,btc_1h,0.46,227.07,0.47,31.0
1786852721.817,btc_4h,0.991,620.0,0.995,50.0
1786852722.316,btc_1h,0.46,400.07,0.47,30.0
1786852724.689,btc_4h,0.991,620.0,0.995,50.0
1786852725.401,btc_1h,0.46,490.66,0.47,30.0
1786852727.864,btc_4h,0.991,620.0,0.995,50.0
1786852728.575,btc_1h,0.46,230.79,0.47,160.0
1786852731.027,btc_4h,0.991,620.0,0.995,50.0
1786852731.545,btc_1h,0.48,59.99,0.49,20.0
1786852733.901,btc_4h,0.991,620.0,0.995,50.0
1786852734.474,btc_1h,0.51,127.87,0.52,60.0
1786852736.767,btc_4h,0.993,671.4,0.995,50.0
1786852737.279,btc_1h,0.53,60.77,0.54,56.29
# error btc_4h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852740.324,btc_1h,0.53,5.0,0.54,20.0
1786852742.811,btc_4h,0.994,1283.52,0.995,50.0
1786852744.242,btc_1h,0.85,59.99,0.9,10.0
1786852745.848,btc_4h,0.994,1283.52,0.995,50.0
1786852746.303,btc_1h,0.94,52.99,0.95,0.28
1786852748.746,btc_4h,0.994,1333.52,0.995,50.0
1786852749.292,btc_1h,0.96,51.24,0.97,148.96
1786852751.923,btc_4h,0.994,1333.52,0.995,50.0
1786852752.537,btc_1h,0.97,20.0,0.98,5.0
1786852754.891,btc_4h,0.997,400.0,0.998,85.19
1786852755.476,btc_1h,0.97,20.0,0.98,54.0
1786852757.823,btc_4h,0.997,450.0,0.999,165.0
1786852758.374,btc_1h,0.97,20.0,0.98,92.65
1786852760.804,btc_4h,0.997,450.0,0.999,165.0
1786852761.414,btc_1h,0.97,20.0,0.98,92.65
1786852763.858,btc_4h,0.997,450.0,0.999,165.0
1786852764.566,btc_1h,0.91,20.0,0.98,76.62
1786852766.755,btc_4h,0.997,450.0,0.999,165.0
1786852767.384,btc_1h,0.95,20.0,0.97,5.0
1786852769.845,btc_4h,0.999,703.12,None,None
1786852770.358,btc_1h,0.95,20.0,0.98,61.62
1786852772.811,btc_4h,0.999,753.12,None,None
1786852773.426,btc_1h,0.94,20.0,0.99,119.83
1786852775.782,btc_4h,0.999,753.12,None,None
1786852776.394,btc_1h,0.96,20.0,0.99,118.56
1786852778.854,btc_4h,0.999,753.12,None,None
1786852779.452,btc_1h,0.96,20.0,0.99,118.56
1786852781.746,btc_4h,0.999,753.12,None,None
1786852782.251,btc_1h,0.96,20.0,0.99,57.95
1786852784.791,btc_4h,0.999,785.92,None,None
1786852785.406,btc_1h,0.91,20.0,0.99,37.74
1786852787.865,btc_4h,0.999,785.92,None,None
1786852788.478,btc_1h,0.92,20.0,0.99,37.74
1786852790.905,btc_4h,0.999,886.72,None,None
1786852791.357,btc_1h,0.92,20.0,0.99,380.74
1786852793.906,btc_4h,0.999,886.72,None,None
1786852794.378,btc_1h,0.9,20.0,0.99,378.97
1786852796.876,btc_4h,0.999,886.72,None,None
1786852797.489,btc_1h,0.97,5.0,0.99,377.95
